add,翻譯
-1 Physical Damage taken from Hits per Level,每等級擊中 -1 承受物理傷害
-1 to maximum number of Summoned Totems.,召喚圖騰的上限 -1。
-1 to maximum number of Summoned Totems\nYou can have an additional Brand Attached to an Enemy,-1 召喚圖騰的最大數量\n你可以對敵人附著 1 個額外烙印
-10 Physical Damage taken from Hits,擊中 -10 承受物理傷害
-25% to maximum Chance to Block Attack Damage\n-25% to maximum Chance to Block Spell Damage\n+2% Chance to Block Spell Damage for each 1% Overcapped Chance to Block Attack Damage,-25% 最大攻擊傷害格擋率\n-25% 最大法術傷害格擋率\n每 1% 超過上限的攻擊傷害格擋率 +2% 法術傷害格擋率
-X% maximum Resistances:,-X% 玩家的抗性上限:
'Armoured','裝甲的'
'Hexproof','無咒的'
'Hexwarded','魔抗的'
'Impervious','避毒的'
'of Balance','平衡之'
'of Congealment','凝血之'
'of Drought','幹枯之'
'of Exposure','曝曬之'
'of Impotence','短程之'
'of Insulation','隔絕之'
'of Miring','遲鈍之'
'of Rust','生鏽之'
'of Skirmishing','衝突之'
'of Smothering','窒息之'
'of Stasis','瘀血之'
'of Toughness','堅韌之'
'Resistant','抗性的'
(A Hit that removes at least 15% of Maximum Life is a Savage Hit),"( 一次攻擊使目標失去 15% 最大生命以上的傷害時, 該攻擊會被視為殘暴打擊 )"
"(Adrenaline grants 100% increased Damage, 25% increased Attack, Cast and Movement Speed and 10% additional Physical Damage Reduction)",( 腎上腺素提供增加 100% 傷害，增加 25% 攻擊、施放和移動速度、和 10% 額外物理傷害減免 )
"(Affects Melee Strikes, including the Default Attack. Does not apply to Areas of Effect)",（影響近戰打擊，包括普通攻擊。無法用於效果區域）
"(Ailments are Bleeding, Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, Sapped, and Poisoned)",(異常狀態包括流血、點燃、焦灼、冰緩、冰凍、易碎、感電、殘喘和中毒)
"(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)",(傷害類異常狀態包括流血、點燃和中毒)
"(Ailments that do not deal Damage are Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)",(非傷害類異常狀態包括焦灼、冰緩、冰凍、易碎、感電和殘喘)
"(Alchemist's Genius increases Flask Charges gained and effect of Flasks by 20%, for 4 seconds)",（鍊金奇才使藥劑使用次數和藥劑效果增加 20%，持續 4 秒）
"(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second, and Curses have 50% reduced effect on them)",( 站在奉獻地面上的友方每秒回復他們最大生命的百分比，且減少 50% 他們身上的詛咒效果 )
(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second. Hits against Enemies on your Consecrated Ground have increased Critical Strike Chance),( 站在奉獻地面上的友方每秒回復一定百分比的最大生命 )
