"1 Projectile","1 個投射物"
"All Projectiles",所有投射物
"1 Stage","1 階"
"6 Stages","6 階"
"Release at 6 Stages","6 階時釋放"
"0 Blades","0 飛刃"
"5 Blades","5 飛刃"
"10 Blades","10 飛刃"
"1 explosion","1 爆炸"
"4 explosions","4 爆炸"
"Corpse Explosion",靈柩爆炸
"Explosion (1 fuse)","爆炸 (1 箭)"
"Explosion (5 fuses)","爆炸 (5 箭)"
Arrow,箭矢
"Melee hit",近戰擊中
"Icy blades",冰霜之刃
Cone,扇形區域
"One slash",一次衝擊波
"Both slashes",所有衝擊波
Projectiles,投射物
Beams,光束
"Projectile Weakness",投射物要害
"No stages","0 階"
"4 stages","4 階"
"8 stages","8 階"
"No Stages",不疊層
"4 Stages","4 階"
"8 Stages","8 階"
"Release at 5 Stages","5 階釋放"
"Thorn Arrows",荊棘箭
"Shrapnel Shot",流星射擊
Shield,盾牌
Shards,碎片
"Outgoing Projectile",發射的投射物
"Returning Projectile",返還的投射物
"Fire hit",火燄擊中
"Fire explosion",火燄爆炸
"Lightning hit",閃電擊中
"Lightning bolt",閃電弧
"Cold hit",冰霜擊中
"Icy wave",冰霜波
"Arctic Breath",極地吐息
"Self Explosion",自身附近爆炸
"Cast on Player",玩家上施放
"Cast on Skeleton",靈侍上施放
"Release at 10 Stages","10 階釋放"
"Release at 20 Stages","20 階釋放"
Explosion,爆炸
"10 Stages","10 階"
"First Form, 1 Projectile","第一狀態, 1 個投射物"
"Second Form, 1 Projectile","第二狀態, 1個投射物"
"First Form, All Projectiles","第一狀態, 所有投射物"
"Second Form, All Projectiles","第二狀態, 所有投射物"
"Half stages",一半階數
"Maximum stages",最大階數
Release,釋放
Explosions,爆炸
"Magma Orb",熔岩之核
"Initial hit",初始擊中
Ring,環形部分
Idle,空閒
"1 Stack","1 層"
"5 Stacks","5 層"
"10 Stacks","10 層"
"15 Stacks","15 層"
"Initial impact",初始衝擊
Aftershock,餘震
"First Hit",初段擊中
"Second Hit",次段擊中
"Third Hit",三段擊中
"Melee Hit",近戰擊中
"Magma Balls",熔岩球
"Initial effect",初始效果
"Maximum effect",最大效果
"Beams - 1 Stack","光束 - 1 層"
"Beams - 3 Stacks","光束 - 3 層"
"Primary wave",初始衝擊波
Shockwaves,衝擊波
Cascade,冰川之刺
"Chaos Aura",混沌光環
"Magma Ball",岩漿球
"Flame Wave",火燄震波
"Storm Orb",風暴之珠
"Lightning Projectile",閃電投射物
Charge,重盾衝鋒
"Cold Projectile",冰霜投射物
"Fire Projectile",火燄投射物
Roll,回旋之刃
"Physical Projectile",物理投射物
"Tail Spike",尾刺
"Crusade Slam",十字軍猛擊
"Chaos Projectile",混沌投射物
"Combo Attack",連擊
"Caustic Cloud",腐蝕毒雲
Mjolner,沉默之雷
Blessing,祝福
"Convert to fire",轉化為火燄
"Convert to cold",轉化為冰霜
"Convert to lightning",轉化為閃電
"Summon Volatile Anomaly",召喚異動奇點
"Blood Projectile",鮮血投射物
"Consume Corpse",褻瀆
Sandstorm,沙塵暴
"Delayed Blast",延時爆破
"Whirling Charge",旋轉充能
"Ranged Attack",遠程攻擊
"Chaos Ball",混沌之珠
"Lightning Ball",天雷之珠
"Fire Roll",火回旋之刃
"Blue Flame",藍火舌圖騰
"Chaos Spikes",混沌尾刺
Spit,噴射
"Scorching Ray Totem",灼熱奔流圖騰
"Mass Frenzy",群體狂亂
"Mass Power",群體之力
"Throw Fire",擲火
"Caustic Bomb",腐蝕炸彈
"Fire Bomb",火燄炸彈
"Lesser Multi Fireball",低階多重火球
"Lesser Multi Ice Spear",低階多重冰矛
"Lightning Thorns",閃電荊棘
"Multi Fireball",多重火球
"Multi Ice Spear",多重冰矛
"Proximity Shield",近盾
"Unrighteous Fire",不潔之火
"Split Fireball",分裂火球
"Split Ice Spear",分裂冰矛
"Chaos Fireball",混沌火球
"Suicide Explosion",自爆
Screech,尖哮
Wave,震波
"Spine Attack",脊柱攻擊
"Flame Vortex",火燄漩渦
Beam,光柱
"Tar Projectile",焦油投射物
"Double Slash",雙重打擊
"Physical Mortar",物理砲擊
"Curse On Hit",擊中附加詛咒(輔)
Deathmark,亡印（輔）
"Ranged Attack Totem",遠距離攻擊圖騰(輔)
