"Small Hybrid Flask",小型復合藥劑
"Medium Hybrid Flask",中型復合藥劑
"Large Hybrid Flask",大型復合藥劑
"Colossal Hybrid Flask",高階復合藥劑
"Sacred Hybrid Flask",聖語復合藥劑
"Hallowed Hybrid Flask",祝福復合藥劑
"Small Life Flask",小型生命藥劑
"Sanctified Life Flask",聖化生命藥劑
"Divine Life Flask",不朽生命藥劑
"Eternal Life Flask",永恆生命藥劑
"Medium Life Flask",中型生命藥劑
"Large Life Flask",大型生命藥劑
"Greater Life Flask",良質生命藥劑
"Grand Life Flask",優質生命藥劑
"Giant Life Flask",巨型生命藥劑
"Colossal Life Flask",高階生命藥劑
"Sacred Life Flask",聖語生命藥劑
"Hallowed Life Flask",祝福生命藥劑
"Small Mana Flask",小型魔力藥劑
"Sanctified Mana Flask",聖化魔力藥劑
"Divine Mana Flask",不朽魔力藥劑
"Eternal Mana Flask",永恆魔力藥劑
"Medium Mana Flask",中型魔力藥劑
"Large Mana Flask",大型魔力藥劑
"Greater Mana Flask",良質魔力藥劑
"Grand Mana Flask",優質魔力藥劑
"Giant Mana Flask",巨型魔力藥劑
"Colossal Mana Flask",高階魔力藥劑
"Sacred Mana Flask",聖語魔力藥劑
"Hallowed Mana Flask",祝福魔力藥劑
"Diamond Flask",寶鑽藥劑
"Basalt Flask",石化藥劑
"Aquamarine Flask",海藍藥劑
"Stibnite Flask",迷霧藥劑
"Sulphur Flask",硫磺藥劑
"Silver Flask",真銀藥劑
"Bismuth Flask",灰岩藥劑
"Ruby Flask",紅玉藥劑
"Sapphire Flask",藍玉藥劑
"Topaz Flask",黃玉藥劑
"Granite Flask",堅岩藥劑
"Quicksilver Flask",水銀藥劑
"Amethyst Flask",紫晶藥劑
"Quartz Flask",石英藥劑
"Jade Flask",翠玉藥劑
