"Max Stages",最大階數
"Lightning Surge",閃電奔騰
"Explosion (10 fuses)","爆炸 (10 箭)"
"Explosion (20 fuses)","爆炸 (20 箭)"
"1 Blade","1 飛刃"
"3 Blades","3 飛刃"
"6 Blades","6 飛刃"
"40 Blades","40 飛刃"
"50 Blades","50 飛刃"
"Explosion (15 fuses)","爆炸 (15 箭)"
"Single Projectile Hit",單個投射物擊中
"All Projectiles Hit",所有投射物擊中
"Cone AoE",圓錐範圍
"Main Projectile",主投射物
"Split Projectile",分裂投射物
"First Impact",第一波衝擊
"Subsequent Impacts",後續幾波衝擊
"Primary Debuff",初次減益效果
"Secondary Debuff",二次減益效果
"Initial Bursts",初始幾波
"Final Burst",最終一波
Target,單體目標
"1 Energy Explosion","1 層能量爆炸"
"5 Energy Explosion","5 層能量爆炸"
"10 Energy Explosion","10 層能量爆炸"
"15 Energy Explosion","15 層能量爆炸"
"20 Energy Explosion","20 層能量爆炸"
"20 Energy Pulse","20 層能量輻射"
Spike,尖刺
"First Wave Area",初始震波區域
"Final Wave Area",最終震波區域
"Skitterbot Wait",飛掠者待機
"Caustic Ground",腐蝕毒雲
ChannelledSnipeSupport,狙擊吟唱輔助
"Minion Explosion",召喚生物爆炸
"Greater Spell Echo",高等施法回響
"Triggered Summon Phantasm",召喚幻靈
"Elemental Hit Fire",火燄元素打擊
"Physical Beam",砲擊
"Crystal Impact",龍卷射擊
"Projectile Spell",爆彈產生（部分）
Bombs,爆彈爆炸（部分）
"Breach Lightning Whip",閃電奔騰
"Breach Arc",裂隙電弧
"Breach Team Warp",裂隙團隊曲線
"Breach Lightning Orbs Commander",裂隙雷球指揮
"Sand Leaper Dodge Left",跳沙者左躲閃
"Sand Leaper Dodge Right",顯現
"Lightning Laser",噬魂者激光（部分）
"Nova Spell",新星法術
"Slam Attack",猛擊
"Frost Projectile",冰霜投射物
"Frost Mortar",冰霜砲擊
"Explosive Arrow (20 Fuses)",WalkEmergeAtlasInfluenceMonster
"Dagger Trigger Spell",匕首觸發法術
"Secret Police Daggers",砲擊碎片
"Mortar Shards","爆炸箭矢 (20 層)"
"Arrow Shotgun",箭矢
"Ranged Shotgun",遠程獵槍
"Beam Blast",光束爆炸
"Nuke Beam",光束
"Nuke Beam Channelled",持續吟唱光束
"Manual Stacks",手動疊層
"Maximum Stacks",最大疊層
"Energy Explosion",能量爆炸
"Max Explosion per Brand",每個烙印最大爆炸
"Max Stages Energy Pulsing",最大層能量輻射
"1 Orb Tick","1 能量球"
"Max Channelled Orbs",最大吟唱能量球
"Debuff Explosion - 1 Stack","減益效果爆炸 - 1 層"
"Debuff Explosion - 6 Stacks","減益效果爆炸 - 6 層"
"Beam Sweep",光束掃描
"Knockback Attack",擊退攻擊
