"Crimson Jewel",赤紅珠寶
"Viridian Jewel",翠綠珠寶
"Cobalt Jewel",鈷藍珠寶
"Prismatic Jewel",三相珠寶
"Timeless Jewel",永恆珠寶
"Large Cluster Jewel",巨型星團珠寶
"Medium Cluster Jewel",中型星團珠寶
"Small Cluster Jewel",小型星團珠寶
"Murderous Eye Jewel",殺戮之眼珠寶
"Searching Eye Jewel",勘查之眼珠寶
"Hypnotic Eye Jewel",催眠之眼珠寶
"Ghastly Eye Jewel",極懼之眼珠寶
Brawn,筋骨強化
Inertia,慣性
"Vampire's Might",吸血鬼的力量
"Survival Skills",生存技巧
"Inspired Learning",求知的熱情
"Martial Artistry",武藝之相
"Spire of Stone",石塔
"Mantra of Flames",烈炎之兆
Combustibles,燃盡
"The Naming Temporary",暫名
"Fragile Bloom",脆弱的繁華
"Rain of Splinters",碎鏃雨
"Efficient Training",充分訓練
"Atziri's Reign",阿茲里之權
"Blood Sacrifice",血犧
"Warlord's Reach",督軍之力
"Conqueror's Efficiency",征服者的迅捷
"Ancient Waystones",遠古基石
"Zerphi's Youth",澤佛伊的青春
Fragility,虛弱
Fireborn,炎域
"Energised Armour",能量堅甲
"Might in All Forms",卓絕之力
"Izaro's Turmoil",伊澤洛之亂
"The Vigil",監視守夜
"Rapid Expansion",急速擴張
"Shattered Chains",破碎之鍊
"Weight of the Empire",帝國重量
"Emperor's Might",帝王的霸權
"Grand Spectrum",巨光譜
"Coated Shrapnel",榴星
"Underdog's Fury",犧牲者怒息
"Primordial Might",先祖力量
"The Red Dream",赤影夢境
"The Red Nightmare",赤影夢魘
"Winter Burial",冬葬
Wildfire,燐火
"Overwhelming Odds",絕對壓制
"Might of the Meek",儒子可教
"Tempered Flesh",冶鍊之體
"Combat Focus",專精作戰
"Transcendent Flesh",超凡之體
"Thread of Hope",希望之絃
"Split Personality",人格分裂
"Replica Conqueror's Efficiency",贗品．征服者的迅捷
"Replica Fragile Bloom",贗品．脆弱的繁華
"Replica Blood Sacrifice",贗品．血犧
"Replica Primordial Might",贗品．先祖力量
"Dissolution of the Flesh",血肉溶解
"Forbidden Flame",禁忌烈焰
"Divine Inferno",神聖煉獄
Firesong,炔頌
"Immutable Force",不變之力
"Fluid Motion",流暢行動
"Intuitive Leap",直覺之躍
"Lioneye's Fall",獅眼的隕落
"Survival Instincts",生存本能
"Cannibalistic Habits",同族相殘
Apparitions,映像
Hotheaded,腦衝
"Weight of Sin",罪惡的重量
Specialised,熟稔
"Miser of Misery",悲慘賜予者
"Careful Planning",審慎計畫
"Hidden Potential",深藏的潛能
"Sacrificial Harvest",原生祭儀
Self-Flagellation,殘虐之歡愉
"Poacher's Aim",盜獵者的準心
"Conqueror's Longevity",征服者的長生
"Chill of Corruption",腐化寒息
"Hungry Abyss",饑饉深淵
Pacifism,和平主義
Pugilist,迅擊者
"Cold Steel",冷鋼
"Static Electricity",靜電之源
"Volley Fire",怒火齊發
"Spirit Guards",精神守護
"Pitch Darkness",黯黑之調
"Steel Spirit",堅毅心靈
"Growing Agony",茁壯苦痛
"Cheap Construction",廉價建設
"Hair Trigger",髮閘機關
"Emperor's Cunning",帝王的詭計
"Primordial Eminence",先祖卓越
"The Green Dream",青影夢境
"The Green Nightmare",青影夢魘
"Sudden Ignition",急遽點燃
"Ring of Blades",環形刃
"Fight for Survival",存戰
"Omen on the Winds",乘風之兆
"Might and Influence",強權之勢
"Collateral Damage",戰殤
"Choking Ash",窒息餘燼
"Straight and True",不變真理
"Pure Talent",純才
"The Golden Rule",黃金守則
"Tempered Spirit",冶鍊之靈
"Transcendent Spirit",超凡之靈
"Unnatural Instinct",神感
"Toxic Vapours",腐蝕之息
"Seething Fury",沸騰之怒
"Quickening Covenant",復甦誓約
"Unearth Threshold",出土門閘
"Replica Hotheaded",贗品．腦衝
"Replica Pure Talent",贗品．純才
"Replica Cheap Construction",贗品．廉價建設
"Lord of Steel",鋼鐵君主
"Impossible Escape",逃脫不能
Stormshroud,風暴籠罩
"To Dust",塵埃落定
"Eldritch Knowledge",異能知識
"Selfless Leadership",無私領導
"Survival Secrets",生存秘技
"Fertile Mind",豐富心靈
"Fortified Legion",堅守軍團
"Malicious Intent",不善意圖
"Clear Mind",理智
"Brute Force Solution",蠻力衝撞
"Vaal Sentencing",瓦爾之訴
"Fevered Mind",狂熱之心
Powerlessness,無力
"Assassin's Haste",刺殺者迷影
"Conqueror's Potency",征服者的力量
"Mutated Growth",墮落異體
"Corrupted Energy",腐化能量
"Brittle Barrier",易碎屏障
"Anatomical Knowledge",真知灼見
"Energy From Within",潛能防護
"Healthy Mind",靈體轉換
"Rolling Flames",滾動烈焰
"Winter's Bounty",冬季賞金
"Spirited Response",先祖回音
"Dead Reckoning",死亡清算
"Reckless Defence",魯莽防禦
"Unstable Payload",不穩定承載
"Emperor's Wit",帝王的智慧
"Unending Hunger",無盡飢餓
"Primordial Harmony",先祖和諧
"The Blue Dream",碧影夢境
"The Blue Nightmare",碧影夢魘
"Violent Dead",亡者之殘
"First Snow",初雪
"Frozen Trail",跡凍
Inevitability,必然
"Spreading Rot",拓蝕
"Boundless Grasp",無邊抑制
"Hazardous Research",危機學
"From Dust",塵土歸來
"The Long Winter",凜冽久冬
"Soul's Wick",魂靈之芯
"Tempered Mind",冶鍊之意
"Transcendent Mind",超凡之意
