"Raised Zombie",再生腐屍
"Chaos Golem",混沌魔像
"Flame Golem",烈燄魔像
"Ice Golem",寒冰魔像
"Lightning Golem",閃電魔像
"Stone Golem",年邁巨石
"Raging Spirit",怒炎之靈
"Essence Spirit",精華之靈
"Spectral Wolf Companion",幽狼
"Summoned Skeleton",異靈魔侍
"Summoned Skeleton Caster",異靈魔侍術者
"Summoned Skeleton Archer",異靈魔侍弓箭手
Clone,復制之體
"Spider Minion",蜘蛛爪牙
"Animated Weapon",幻靈武器
"Animated Guardian",幻靈守衛
"Grave Spirit",悲墓之靈
"Dancing Dervish",狂舞德爾維希
"Summoned Phantasm",異界兇靈
"Agony Crawler",苦痛爬行者
"Sentinel of Purity",純淨哨兵
"Holy Relic",聖物
"Sentinel of Dominance",統禦哨兵
"Summoned Rhoa",被召喚的恐喙鳥
"Summoned Cobra",被召喚的眼鏡蛇
"Summoned Ursa",召喚之爪
"Carrion Golem",腐化魔像
