ㄎ,翻譯
(Duelist) Impact,(決鬥者) 衝擊
Allocates Impact if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 衝擊
Allocates Impact if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 衝擊
(Duelist) Fatal Flourish,(決鬥者) 致命繁榮
Allocates Fatal Flourish if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 致命繁榮
Allocates Fatal Flourish if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 致命繁榮
(Duelist) Reigning Veteran,(決鬥者) 在位老鳥
Allocates Reigning Veteran if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 在位老鳥
Allocates Reigning Veteran if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 在位老鳥
(Duelist) Arena Challenger,(決鬥者) 競技場挑戰者
Allocates Arena Challenger if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 競技場挑戰者
Allocates Arena Challenger if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 競技場挑戰者
(Duelist) Master of Metal,(決鬥者) 鐵金剛
Allocates Master of Metal if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 鐵金剛
Allocates Master of Metal if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 鐵金剛
"(Duelist) First to Strike,Last to Fall",(決鬥者) 嗜戰如命
"Allocates First to Strike,Last to Fall if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 嗜戰如命
"Allocates First to Strike,Last to Fall if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 嗜戰如命
(Duelist) Unstoppable Hero,(決鬥者) 不敗英雄
Allocates Unstoppable Hero if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不敗英雄
Allocates Unstoppable Hero if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不敗英雄
(Duelist) Fortitude,(決鬥者) 堅忍
