原文(有{0}),翻譯
"(base life for a level {0} monster)","({0} 級怪物基礎生命)"
{0},{0}
"{0} - {1} (portion of damage from non-crits)","{0} - {1} (來自非暴擊傷害百分比)"
"{0} (action speed modifier)","{0} (動作速度詞綴)"
"{0} (ailment effect modifier)","{0} (異常狀態效果詞綴)"
"{0} (average damage)","{0} (平均傷害)"
"{0} (average hit)","{0} (平均擊中)"
"{0} (base duration)","{0} (基礎持續時間)"
"{0} (base mana cost)","{0} (基礎魔力消耗)"
"{0} (base placement speed)","{0} (基礎放置速度)"
"{0} (base throwing speed)","{0} (基礎投射物速度)"
"{0} (base)","{0} (基礎)"
"{0} (burn rate modifier)","{0} (燃燒速度詞綴)"
"{0} (damage per second)","{0} (每秒傷害)"
"{0} (damage rate modifier)","{0} (傷害速度詞綴)"
"{0} (dps multiplier for this skill)","{0} (此技能秒傷加成)"
"{0} (effective DPS modifier)","{0} (有效秒傷詞綴)"
"{0} (hit chance)","{0} (擊中機率)"
"{0} (hits per second)","{0} (每秒擊中)"
"{0} (ignite chance)","{0} (點燃機率)"
"{0} (ignite duration)","{0} (點燃持續時間)"
"{0} (increased/reduced placement speed)","{0} (增加/減少 放置速度)"
"{0} (increased/reduced throwing speed)","{0} (增加/減少 投射物速度)"
"{0} (maximum life)","{0} (最大生命)"
"{0} (more/less placement speed)","{0} (更多/更少 放置速度)"
"{0} (more/less throwing speed)","{0} (更多/更少 投射物速度)"
"{0} (poison chance)","{0} (中毒機率)"
"{0} (poison duration)","{0} (中毒持續時間)"
"{0} (size of leech destination pool)","{0} (偷取池大小)"
"{0} (source damage from crits)","{0} (暴擊源傷害)"
"{0} (source damage from non-crits)","{0} (非暴擊源傷害)"
"{0} (source damage)","{0} (源傷害)"
"{0} (total damage per second)","{0} (每秒總傷害)"
"{0} + {0} (base)","{0} + {0} (基礎)"
"{0} + {1} (skill hits with both weapons at once)","{0} + {1} ( 2 把武器同時使用技能擊中)"
"{0} + {1} / {2} (skill alternates weapons)","{0} + {1} / {2} (武器交替使用技能)"
"{0} + {1} per Level","{0} + 每級 {1}"
"{0} Accuracy Rating per {1} Intelligence","每 {1} 點智慧 {0} 命中值"
"{0} Added Passive Skill is a Jewel Socket","{0} 個附加的天賦為珠寶插槽"
"{0} Added Passive Skill is Adrenaline","{0} 個附加天賦為腎上腺素"
"{0} Added Passive Skill is Advance Guard","{0} 個附加天賦為進階守衛"
"{0} Added Passive Skill is Aerialist","{0} 個附加天賦為高空特技"
"{0} Added Passive Skill is Aerodynamics","{0} 個附加天賦為氣動學"
"{0} Added Passive Skill is Agent of Destruction","{0} 個附加天賦為破壞特工"
"{0} Added Passive Skill is Aggressive Defence","{0} 個附加天賦為積極防禦"
"{0} Added Passive Skill is Alchemist","{0} 個附加天賦為鍊金術師"
"{0} Added Passive Skill is Ancestral Echo","{0} 個附加天賦為先祖回響"
"{0} Added Passive Skill is Ancestral Guidance","{0} 個附加天賦為先祖指引"
"{0} Added Passive Skill is Ancestral Inspiration","{0} 個附加天賦為先祖啟發"
"{0} Added Passive Skill is Ancestral Might","{0} 個附加天賦為先祖之力"
"{0} Added Passive Skill is Ancestral Preservation","{0} 個附加天賦為先祖庇護"
"{0} Added Passive Skill is Ancestral Reach","{0} 個附加天賦為先祖所向"
"{0} Added Passive Skill is Antifreeze","{0} 個附加天賦為抗凍"
"{0} Added Passive Skill is Antivenom","{0} 個附加天賦為抗毒"
