"Lava Lash",熔岩之力
"Two Handed Melee Damage and Leech",雙手武器近戰傷害和偷取
"Two Handed Melee Damage",雙手武器近戰傷害
"Two Handed Melee Damage and Attack Speed",雙手武器傷害和攻擊速度
"Totem Life and Physical Damage Reduction",圖騰生命和物理傷害減免
"Staff Block",長杖格擋
"Whirling Barrier",杖影屏障
"Shield Spell Block and Elemental Resistances with a Shield",持盾盾牌法術格擋和元素抗性
"Life Regeneration",生命回復
"Elemental Resistances with a Shield",持盾元素抗性
"Shield Block and Block Recovery",盾牌格擋與格擋恢復
Sanctuary,聖所
"Sword Damage",劍的傷害
"Smashing Strikes",沉重之擊
"Staff Damage and Stun Duration",長杖傷害和暈眩持續時間
"Mace Damage and Reduced Enemy Stun Threshold",錘的傷害和減低敵人暈眩門檻
"Mace Damage and Area of Effect",錘的傷害和範圍效果
"Skull Cracking",碎顱
"Mace Damage",錘的傷害
"Mace Damage and Stun Duration",錘的傷害和暈眩持續時間
"Bone Breaker",破骨
"Life and Armour",生命與護甲
"Spiked Bulwark",荊棘壁壘
Armour,護甲
"Armour and Elemental Resistances",護甲和元素抗性
"Armour and Energy Shield",護甲和能量護盾
"Axe Damage and Attack Speed",斧的傷害和攻擊速度
"Hatchet Master",斧刃宗師
Slaughter,"屠殺 "
"Axe Damage",斧的傷害
"Bleed Chance",流血機率
"Born to Fight",為戰而生
"Physical Attack Damage",物理攻擊傷害
Life,生命
Stamina,充沛精力
Endurance,耐力
Vigour,活力之源
Mana,魔力
"Mana and Guard Skill Cooldown Recovery",魔力和守護技能冷卻時間恢復
"Mana and Reduced Mana Cost",魔力和減少魔力消耗
"Life Regeneration per Endurance Charge",耐力球生命回復
"Life Leech and Attack Speed",生命偷取和攻擊速度
"Lust for Carnage",汲血者
"Life Leech Speed and Attack Speed",生命偷取速度和攻擊速度
"Blunt Trauma",麻痺創傷
"Knockback Chance",擊退機率
"Knockback Distance",擊退距離
Fending,自衛術
"Endurance Charge Duration",耐力球持續時間
Bloodless,無血之體
"Stun Threshold Reduction",暈眩門檻減免
"Armour and Life",護甲和生命
"Elemental Resistances",元素抗性
"Life and Energy Shield",生命與能量護盾
"Accuracy and Critical Strike Chance",命中和暴擊率
"Eagle Eye",鷹眼
"Warrior's Blood",戰士之血
"Arcing Blows",電能之擊
"Weapon Cold Damage",武器冰冷傷害
"Wand Elemental Damage",法杖元素傷害
