"Gain a Power Charge after Spending a total of 200 Mana","總消耗 200 點魔力時獲得 1 顆暴擊球"
"Cannot be Stunned while you have at least 25 Rage","當你至少有 25 層盛怒時無法被暈眩"
"25% increased Lightning Damage","增加 25% 閃電傷害"
"5% increased Cast Speed with Lightning Skills","增加 5% 閃電技能施放速度"
"+15% to Lightning Resistance","+15% 閃電抗性"
"12% increased Lightning Damage","增加 12% 閃電傷害"
"12% increased Fire Damage","增加 12% 火焰傷害"
"25% increased Fire Damage","增加 25% 火焰傷害"
"5% increased Cast Speed with Fire Skills","增加 5% 火焰技能施放速度"
"+15% to Fire Resistance","+15% 火焰抗性"
"25% increased Cold Damage","增加 25% 冰冷傷害"
"5% increased Cast Speed with Cold Skills","增加 5% 冰冷技能施放速度"
"+15% to Cold Resistance","+15% 冰冷抗性"
"12% increased Cold Damage","增加 12% 冰冷傷害"
"+10 to Intelligence","+10 智慧"
"10% increased Elemental Damage","增加 10% 元素傷害"
"10% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 10% 物理傷害"
"3% increased Attack Speed with Two Handed Melee Weapons","使用雙手近戰武器時增加 3% 攻擊速度"
"10% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 10%"
"10% increased Attack Speed with Two Handed Melee Weapons","使用雙手近戰武器時增加 10% 攻擊速度"
"20% increased Stun Duration with Two Handed Melee Weapons on Enemies","使用雙手近戰武器時增加 20% 敵人暈眩時間"
"20% increased Damage with Two Handed Weapons","雙手武器的攻擊傷害提高 20%"
"20% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 20%"
"24% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 24% 物理傷害"
"50% increased Damage with Hits against Enemies that are on Low Life","對貧血的敵人增加 50% 擊中傷害"
"8% increased Area of Effect if you've Killed Recently","近期內你若有擊敗敵人，則範圍效果擴大 8%"
"24% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 24%"
"14% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 14% 物理傷害"
"14% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 14%"
"5% increased Area of Effect","增加 5% 範圍效果"
"Damage with Weapons Penetrates 8% Fire Resistance","武器造成的傷害穿透 8% 火焰抗性"
"30% increased Fire Damage with Attack Skills","攻擊技能增加 30% 火焰傷害"
"12% increased Fire Damage with Attack Skills","攻擊技能增加 12% 火焰傷害"
"+20 to Accuracy Rating","+20 點命中"
"12% increased Projectile Damage","增加 12% 投射物傷害"
"+20 to Dexterity","+20 敏捷"
"+10 to Dexterity","+10 敏捷"
"6% increased Armour","增加 6% 護甲"
"4% increased maximum Life","增加 4% 最大生命"
"12% increased Armour","增加 12% 護甲"
"Regenerate 0.8% of Life per second","每秒回復 0.8% 生命"
"12% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 12% 物理傷害"
"12% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 12%"
"25% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 25% 物理傷害"
"5% increased Attack Speed with Two Handed Melee Weapons","使用雙手近戰武器時增加 5% 攻擊速度"
"25% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持雙手武器時，攻擊技能造成的異常狀態傷害提高 25%"
"+20 to Strength","+20 力量"
"12% increased Physical Damage with One Handed Melee Weapons","持近戰單手武器時增加 12% 物理傷害"
"12% increased Damage with Ailments from Attack Skills while wielding a One Handed Weapon","持單手武器時，攻擊技能造成的異常狀態傷害提高 12%"
"25% increased Physical Damage with One Handed Melee Weapons","持近戰單手武器時增加 25% 物理傷害"
"5% increased Attack Speed with One Handed Melee Weapons","使用單手近戰武器時增加 5% 攻擊速度"
"25% increased Damage with Ailments from Attack Skills while wielding a One Handed Weapon","持單手武器時，攻擊技能造成的異常狀態傷害提高 25%"
"12% increased Melee Physical Damage","增加 12% 近戰物理傷害"
"12% increased Damage with Ailments from Attack Skills while wielding a Melee Weapon","持近戰武器時，攻擊技能造成的異常狀態傷害提高 12%"
